Name,Q code,founding,Rank,Country/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Number of graduates,Mean rank,Median rank
University of Cincinnati,Q153265,1819,251,United States,46.9–50.0,35.5,30.8,83.9,39.4,40.9,1,395313,395313
Curtin University,Q1145497,1987,251,Australia,46.9–50.0,23.4,30.4,83.2,44.8,94.2,1,4611,4611
Dalhousie University,Q579321,1818,251,Canada,46.9–50.0,27.7,29.6,79.5,44.4,85.4,2,63375,63375
University of Delaware,Q1068072,1743,251,United States,46.9–50.0,28.5,38.2,71.5,90.6,47.2,1,1183,1183
École des Ponts ParisTech,Q273523,1747,251,France,46.9–50.0,39.9,24.5,73.1,57.5,82.3,8,452747,510274
University of Essex,Q1075104,1965,251,United Kingdom,46.9–50.0,31.6,34.3,68.6,35.0,96.5,20,539327,292020
Flinders University,Q15575,1966,251,Australia,46.9–50.0,22.5,29.9,84.4,37.7,88.0,5,563504,498336
Florida State University,Q861548,1851,251,United States,46.9–50.0,38.0,40.1,69.2,39.4,43.5,8,405018,239834
George Mason University,Q1411222,1957,251,United States,46.9–50.0,29.9,26.3,89.5,35.8,46.2,1,824951,824951
University of Illinois at Chicago,Q955764,1890,251,United States,46.9–50.0,45.0,33.4,69.7,43.2,54.9,1,20719,20719
La Trobe University,Q1478723,1967,251,Australia,46.9–50.0,27.1,33.1,73.3,51.3,83.8,4,465315,481304
University of Oregon,Q766145,1876,251,United States,46.9–50.0,34.0,29.3,83.7,34.7,37.0,11,701240,624217
University of Oulu,Q1357517,1958,251,Finland,46.9–50.0,30.3,34.4,76.4,43.0,54.3,1,97125,97125
Ruhr University Bochum,Q309948,1962,251,Germany,46.9–50.0,39.7,45.0,57.9,54.5,55.0,1,199359,199359
University of São Paulo,Q835960,1934,251,Brazil,46.9–50.0,56.4,54.0,40.6,39.9,33.9,10,78142,18461
Sapienza University of Rome,Q209344,1303,251,Italy,46.9–50.0,40.4,40.0,69.8,43.6,40.5,14,211394,12554
