wikidata_code_B,education
Q106303,['Cours Florent']
Q42037,"['University of Bristol', 'Aix-Marseille University', 'University of Nice Sophia-Antipolis', 'University of Provence - Aix-Marseille I']"
Q53939,['Sorbonne']
Q313509,"['École normale supérieure', 'Lycée Pasteur', 'Lycée Louis-le-Grand', 'Sciences Po']"
Q47576,"['University of Strasbourg', 'University of Strasbourg']"
Q484605,"['Paris Nanterre University', 'Holton-Arms School', 'Sciences Po Aix', 'University of Paris (1896-1968)', 'Sciences Po']"
Q105158,"['Conservatoire de Paris', 'Cours Florent']"
Q159876,"['Sofia University', 'Paris 8 University']"
Q171530,"['Lycée Henri-IV', 'University of Paris (1896-1968)']"
Q385437,"['HEC Paris', 'University of Bristol', 'Sciences Po', 'Lycée Carnot', 'Paris Nanterre University', 'University of Paris VI: Pierre-and-Marie-Curie University', 'University of Paris (1896-1968)']"
Q5829,"['University of Franche-Comté', 'Lycée Regnault', 'Lycée Pierre-Corneille']"
Q1716,['Lycée Montaigne']
Q106607,"[""Conservatoire national supérieur d'art dramatique"", 'University of Paris (1896-1968)']"
Q106349,['Sciences Po Aix']
Q7060,['University of Caen Normandy']
Q106573,"['École alsacienne', ""Conservatoire national supérieur d'art dramatique"", 'Conservatoire de Paris', 'Cours Simon']"
Q215569,"['École normale supérieure', 'Lycée Louis-le-Grand', ""École nationale d'administration"", 'Sciences Po']"
Q81923,"['University Nancy II', ""École nationale d'administration"", 'Sciences Po', 'University of Lorraine']"
Q217324,['lycée Henri-Poincaré']
Q115735,['Drama Centre London']
Q214317,['École nationale supérieure des Beaux-Arts']
Q310692,"['Sciences Po', 'Lycée Pasteur']"
Q355237,"['Tours University', 'School for Advanced Studies in the Social Sciences']"
Q551439,['Cours Hattemer']
Q600051,"['Collège Stanislas de Paris', 'Cours Simon']"
Q240802,['Conservatoire national supérieur de musique et de danse']
Q217070,"['Lycée Louis-le-Grand', 'École normale supérieure', ""École nationale d'administration"", 'Sciences Po', 'Lycée Janson-de-Sailly']"
Q154490,['Institut des hautes études cinématographiques']
Q364315,"['École Polytechnique', 'Paris Dauphine University', ""École nationale d'administration"", 'Mines ParisTech', 'Sciences Po', 'Lycée Janson-de-Sailly']"
Q713477,['Lycée Condorcet']
Q380443,"['École normale supérieure de Saint-Cloud', 'Lycée Henri-IV']"
Q337226,['Lycée Henri-IV']
Q131660,"['Sciences Po', 'University of Paris (1896-1968)', ""École nationale d'administration"", 'Paris Nanterre University', 'Panthéon-Assas University']"
Q366057,['Lycée Louis-le-Grand']
Q565692,['Cours Florent']
Q332689,['University of Nice Sophia-Antipolis']
Q12963,['Bordeaux Montaigne University']
