wikidata_code_b,educationQ20961731,['École nationale supérieure des Beaux-Arts']
Q50689180,['University of Ouagadougou']
Q7682122,['Anglo-Chinese School']
Q4495387,['Turkmen State Institute of Architecture and Construction']
Q15637429,['Tbilisi State Academy of Arts']
Q6174957,['Defense Language Institute']
Q2824052,['University of Southern California']
Q6373687,['University of New England']
Q16116566,['University of the West Indies']
Q20739264,['Autonomous University of Santo Domingo']
Q8026123,['University of London']
Q4269202,['Gerasimov Institute of Cinematography']
Q4058745,['Armenian State University of Economics']
Q4790553,['Baku State University']
Q6387277,"['Royal College, Colombo']"
Q30414875,"['Kwame Nkrumah University of Science and Technology', 'Kumasi Academy', 'Achimota School']"
Q16407371,['Estonian Academy of Arts']
Q24951028,['Paris Diderot University']
Q6452454,"['Fu Foundation School of Engineering and Applied Science', 'New York Institute of Technology']"
Q20090474,['United States Naval Academy']
Q8008877,['Howard University']
Q1909541,['University of Toronto']
Q28173996,['National Autonomous University of Nicaragua']
Q12223209,['Ain Shams University']
Q5295572,['Irkutsk State University']
Q6480446,['University of the West Indies']
Q21001409,['University of Zaragoza']
Q29891918,['Paris Law Faculty']
Q3416336,['Conservatoire national des Arts et Métiers']
Q16150072,['Vladimir State University']
Q26699976,"['University of Florida', 'University of Wisconsin–Madison']"
Q2143467,"['University of Innsbruck', 'Gymnasium Feldkirch']"
Q6413569,['George Washington University']
Q28151464,"['Institute for Philosophy, Literature and History in Leningrad']"
Q34629431,['University of Tirana']
Q5203816,"['Ananda College', 'University of Ceylon', 'University of Oregon']"
Q39083553,['Turkmen State University']
Q3109445,['Université Félix Houphouët-Boigny']
Q3049918,"['', 'Paris-Sorbonne University - Paris IV', 'University of Pennsylvania']"
Q11343058,['M.V. Frunze Military Academy']
Q17305644,"['University of Pittsburgh', 'Northwestern University School of Law']"
Q9178998,['University of Belgrade Faculty of Law']
Q3920283,['Faculty of physics of Belarusian State University']
Q16363840,['University of Latvia']
Q6473617,['National University of Singapore']
Q21151307,"[""Peterhouse Boys' School"", 'University of Zimbabwe', 'University College']"
Q375183,['Istanbul School of Medicine']
Q7963017,['Addis Ababa University']
Q4714305,['National and Kapodistrian University of Athens']
Q22958412,['University of the West Indies']
Q17019160,"['University of Benghazi', 'Ain Shams University']"
Q20985941,['University of Yangon']
Q16193136,['United Arab Emirates University']
Q6948138,['Turkmen State Institute of Architecture and Construction']
Q26244420,['Belarusian State University']
Q7813051,['University of Liberia']
Q55759633,"['University of Illinois at Urbana–Champaign', 'Interamerican University of Puerto Rico']"
Q16357509,['Riga Technical University']
Q4693074,['University of East Anglia']
Q12791436,['Academy of Music']
Q19543342,['University of Ljubljana']
Q16187123,['Technical University of Moldova']
Q5070347,['Yangon Technological University']
Q7428163,"['University of Auckland', 'University of Sussex']"
Q6409256,['Kim Il-sung University']
Q7129194,"['United States Army War College', 'Wellesley College', 'University of California, Berkeley']"
Q4757583,"['Namilyango College', 'Makerere University', 'State University of New York', 'Southern Illinois University', 'State University of New York at Albany']"
Q22666335,['University of Latvia']
Q16186873,"['The Open University', 'Suffolk University', 'George Fox University', 'California State University, Fresno', 'Fresno Pacific University']"
Q55098131,"['University of Conakry', 'City, University of London']"
Q12784563,['University of Ljubljana']
Q15206952,['Belarusian State Academy of Arts']
Q4058324,"['Baku State University', 'Moscow State University']"
Q16114959,['University of the West Indies']
Q11849927,['Bucharest Academy of Economic Studies']
Q7399815,['Washington University in St.\xa0Louis']
Q18249280,"['Columbia University', 'University of Paris (1896-1968)']"
Q16107393,"['Yale Law School', 'University of Liberia']"
Q12795800,['Academy of Music']
Q4831126,['Defence Services Academy']
Q4899848,['Tulane University']
Q7918076,['University of London']
Q16730825,['Royal University of Phnom Penh']
Q6448474,"['Faculty of Engineering, Middle East Technical University']"
Q23562628,['Kingston University']
Q30072006,['Lille school of journalism - École supérieure de journalisme de Lille']
Q26251330,['Kōchi University']
Q16185356,['Addis Ababa University']
Q7810582,"['University of Pittsburgh', 'Massachusetts Institute of Technology', 'University of Massachusetts Lowell', 'Lincoln University']"
Q12804243,['Academy of Music']
Q56824897,['New York University']
Q5479969,"['University of Cambridge', 'University of the West Indies']"
Q16118426,['Ain Shams University']
Q18645870,['Makerere University']
Q19952856,['University Toulouse - Jean Jaurès']
Q4134671,['Yerevan State University']
Q43388381,['University of Khartoum']
Q7301844,"['Ahmadu Bello University', 'Ulster University', 'University of Durham']"
Q4805839,['Shirak State University']
Q6504344,['University of Khartoum']
Q4946183,['University of Montenegro Faculty of Law']
Q4066778,"['higher party school', 'Russian Academy of State Service']"
Q5997886,['Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation']
Q6891557,"['John F. Kennedy School of Government', 'Miami University']"
Q13050722,['National Polytechnic University of Armenia']
Q4747514,['Makerere University']
Q4501379,['National Polytechnic University of Armenia']
Q6310724,['University of Dar es Salaam']
Q3678155,"['The New School', 'Pontifical Gregorian University', 'Salesian Pontifical University']"
Q16185629,['National University of Malaysia']
Q5617219,['Moscow State University']
Q5639237,"['Harvard University', 'Brandeis University']"
Q28925584,['University of Ljubljana']
Q47166952,['Yerevan State University']
Q12582866,['Kim Chaek University of Technology']
Q16404037,['Estonian University of Life Sciences']
Q22097345,"['Johns Hopkins University', 'Colorado College', 'Paul H. Nitze School of Advanced International Studies']"
Q2824667,['École polytechnique fédérale de Lausanne']
Q19957862,['University of the South Pacific']
Q23770379,['Defence Services Academy']
Q4734738,"['University of the West of England, Bristol']"
Q29996727,['National and Kapodistrian University of Athens']
Q16331005,['Moscow State University']
Q15969177,['The Open University']
Q31867228,['University of Amsterdam']
Q56240776,['Central American University']
Q7514112,"['Duke University', 'University of Michigan College of Literature, Science, and the Arts']"
Q7599902,['Brandeis University']
Q6215487,['University of Pretoria']
Q6317849,['Columbia University']
Q4280731,['Armenian State Pedagogical University']
Q28967536,['University of Papua New Guinea']
Q6315133,"['North-West University', 'University of South Africa', 'University of Johannesburg']"
Q5147367,['Mim Senior High School']
Q4227670,['Bauman Moscow State Technical University']
Q27062899,['University of Aberdeen']
Q4398937,['Faculty of Philosophy at Saint Petersburg State University']
Q55283250,['Moscow State University']
Q4225056,['Abkhazian State University']
Q5639243,['Addis Ababa University']
Q1676746,['Tallinn University of Technology']
Q5657494,['University of Auckland']
Q4767130,['University of Malawi']
Q12543524,['Al-Farabi Kazakh National University']
Q3917786,['Gnessin State Musical College']
Q16012749,['University of Sarajevo']
Q16145882,"[""Sana'a University"", 'University of East Anglia', 'University of Maryland']"
Q6320171,"['Free University of Brussels', 'Louvain School of Management']"
Q3190428,"['Paris Nanterre University', 'University of Poitiers']"
Q16357288,['McGill University']
Q20763501,['Yerevan State University']
Q7082667,['Ege University']
Q16334091,['University of Ljubljana']
