wikidata_code_b,educationQ2127022,['The Royal Conservatory of Music']
Q7506505,"['Fourah Bay College', ""King's College London""]"
Q12731417,"['Enugu State University of Science and Technology', 'University of Nigeria']"
Q7436454,['University of Minnesota Law School']
Q5550111,['University of Burundi']
Q3526606,['Pontifical Gregorian University']
Q11941391,['École Polytechnique']
Q5516889,['Yerevan State University']
Q6004709,['University of Fort Hare']
Q6084962,['Baku State University']
Q20666465,['Paris Nanterre University']
Q4501891,['Grekov Odessa Art school']
Q5395182,['New York University School of Law']
Q15713200,['University of New Hampshire']
Q3402989,['Ss. Cyril and Methodius University of Skopje']
Q20507638,['Yerevan State Institute of Fine Arts and Theater']
Q16189332,"['University of Dar es Salaam', 'Free University of Brussels']"
Q6109995,['Universidad de San Carlos de Guatemala']
Q4465680,['Mir Arab Islom Madrasasi']
Q4625752,['Minnesota State University Moorhead']
Q5680106,"['Mines ParisTech', '']"
Q55238200,"['Fourah Bay College', 'London School of Economics and Political Science']"
Q22005497,"['University of California, Berkeley', 'University of the Philippines']"
Q7668492,['Maliyadeva College']
Q7447116,"['University of Wisconsin–Madison', 'University of Technology Sydney']"
Q9323548,"['University of Otago, Christchurch']"
Q15101327,"['Pugu Secondary School', 'Strathmore University']"
Q16345017,['University of Dhaka']
Q3547083,['Central Mindanao University']
Q4419221,['Jāzeps Vītols Latvian Academy of Music']
Q5297682,['Management College of Southern Africa']
Q7088073,['Iowa State University']
Q4195373,['Uzbekistan State Institute of Arts and Culture']
Q3191837,['Combined Arms Military School in Koulikoro']
Q42948055,['University of Edinburgh']
Q17080820,"['University of Exeter', 'Makerere University']"
Q16012281,['Pakistan Military Academy']
Q21165247,['Central University of Venezuela']
Q3308858,['Université Félix Houphouët-Boigny']
Q4242761,"['Moscow State University', 'MSU Faculty of Physics']"
Q6981237,"['Faculty of Dramatic Arts of Belgrade', 'University of Texas at Dallas']"
Q24565855,['Makerere University']
Q27477377,['Panthéon-Assas University']
Q6495425,"['University of Nottingham', 'University of Virginia', 'Helwan University']"
Q1422761,['Moldova State University']
Q6819047,['The American University in Cairo']
Q4727248,"['University of Leicester', 'University of East Anglia']"
Q3503438,['University of Tripoli']
Q42746569,['University of Botswana']
Q6448213,['University of Essex']
Q4235343,"['Shevchenko State Art School', 'National Academy of Fine Arts and Architecture']"
Q16840908,"['University of Paris (1896-1968)', 'Cheikh Anta Diop University']"
Q1569692,"['University of Ghana', 'Ghana School of Law', 'International Institute of Social Studies', 'University of Ottawa', 'Carleton University', 'Rutgers University']"
Q6388029,"['University of New Brunswick', 'University of Malawi']"
Q6733780,"['University of Delhi', 'Elphinstone College']"
Q1565543,['University of Belgrade Faculty of Philology']
Q4298620,['Yerevan State Institute of Fine Arts and Theater']
Q12228395,"['University of Birmingham', 'University of Southern California', 'USC Viterbi School of Engineering']"
Q7423322,['Sri Lanka Law College']
Q3195582,['University of Provence - Aix-Marseille I']
Q6082822,['University of Bremen']
Q28341349,['Roehampton University']
Q55356292,['Universidad Nacional Pedro Henríquez Ureña']
Q19628966,['Paris Descartes University - Sorbonne Paris Cité']
Q19668599,['Makerere University']
Q3288607,['University of Paris (1896-1968)']
Q4985236,['University of Dar es Salaam']
Q18889606,['University of Paris III: Sorbonne Nouvelle']
Q7814776,"['University of the Witwatersrand', 'University of Wales']"
Q7278693,['London School of Theology']
Q11723717,"['University of Orléans', 'Paris Nanterre University']"
Q4511967,['Odessa University']
Q5589874,['Tribhuvan University']
Q4780604,['Academy of Dramatic Art']
Q6663037,['National University of Malaysia']
Q5018715,"['University of Dar es Salaam', 'University of Southampton']"
Q4865086,['Makerere University']
Q2930186,['Robert College']
Q3485126,['University of Auckland']
Q6450835,['University of Yangon']
Q2965741,"['University of London', 'University College Dublin']"
Q6845043,['Moldova State University']
Q5643951,"['Royal Military Academy Sandhurst', 'American University of Beirut']"
Q3572979,"['Institut National des Arts, Bamako']"
Q7412646,['University of Dar es Salaam']
Q12210114,"['Massachusetts Institute of Technology', 'University of Michigan', 'American University of Beirut']"
Q15665420,"['Weruweru Secondary School', 'The Open University of Tanzania']"
Q12755344,['University of Arts in Belgrade']
Q6875627,['University of Dhaka']
Q4667256,"['Royal College, Colombo']"
Q23904858,"['University of Leeds', 'University of Baghdad']"
Q20430982,['Moldova State University']
Q21229038,['Saint Petersburg State University']
Q5057941,['Technical University of Madrid']
Q17249038,['University of Ljubljana']
Q19924337,['Grenoble Institute of Technology']
Q3917879,['Faculty of history of Belarusian State University']
Q12229359,['University of Surrey']
Q27471832,['University of Dhaka']
Q20534287,['National University of Uzbekistan']
Q4764648,['University of Yangon']
Q4955469,['University of Málaga']
Q4406268,['Plekhanov Russian Economic University']
Q13033100,['Belarusian State Academy of Arts']
Q16702278,['Lviv Polytechnic']
Q5069253,['Royal University of Phnom Penh']
Q3301980,['University of Tirana']
Q16192782,"['University of Medicine, Mandalay']"
Q4512176,"['National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""']"
Q16106522,['Damascus University']
Q27734946,['Southern Utah University']
Q16018655,['University of Montana']
Q3081621,['University of Strathclyde']
