wikidata_code_b,education
Q7037983,['Maxim Gorky Literature Institute']
Q5760268,['Universidad de San Carlos de Guatemala']
Q4525547,['Alecu Russo State University of Bălți']
Q5557784,['Tbilisi State Academy of Arts']
Q26223039,['London School of Economics and Political Science']
Q5679529,"['CUNY Graduate Center', 'En los muelles de la cama']"
Q5483302,['University of Costa Rica']
Q4178351,"['Military Academy of the General Staff of the Armed Forces of Russia', 'Military Institute of the Kazakh Ground Forces', 'M.V. Frunze Military Academy']"
Q2895259,"['Howard University', 'Spertus Institute for Jewish Learning and Leadership']"
Q7285980,['University of North Bengal']
Q20533328,"['Tashkent Institute of Irrigation and Melioration', 'National University of Uzbekistan', 'University of Oxford']"
Q6932305,['University of Dhaka']
Q3140101,['Kim Il-sung University']
Q6410821,['Addis Ababa University']
Q1708590,['Ramapo College']
Q6036225,['Aarhus University']
Q11106758,['University of Hyderabad']
Q4805885,['University of New South Wales']
Q4778561,"['National Taiwan University', 'University of Macau']"
Q1989991,['Faculty of history of Belarusian State University']
Q13642662,"['Royal College, Colombo']"
Q5240565,"['Columbia University', 'University of Massachusetts Amherst', 'Columbia University School of the Arts']"
Q5214827,"['Florida State University', 'University of the West Indies']"
Q14917375,['George Washington University']
Q5642344,['National University of Uzbekistan']
Q515055,['University of Ghana']
Q5746141,"['Kuwait University', 'George Washington University']"
Q6344208,"['Royal College, Colombo']"
Q1566849,['Kabul University']
Q7849434,"['University of Ghana', 'Corpus Christi College']"
Q2062791,"['Moldova State University', 'Gheorghe Asachi Technical University of Iași', 'Illinois State University']"
Q21809321,['Fordham University']
Q3037195,['University of Abomey-Calavi']
Q5716092,['University of Havana']
Q19953728,['Belarusian State University']
Q1344110,['University of Cologne']
Q4772635,"['College of William & Mary', 'George Mason University']"
Q2121339,['Moscow State University']
Q6967156,"['Harvard Law School', 'Punjab University Law College']"
Q3530582,"['Royal College, Colombo']"
Q6443501,['London School of Economics and Political Science']
Q7932777,"[""St Peter's College, Colombo""]"
Q1398156,['University of Nouakchott']
Q6825646,['University of Colombo']
Q12797432,['University of Ljubljana']
Q22957929,"['Pantheon-Sorbonne University', 'Panthéon-Assas University']"
Q1963666,['Paris Descartes University - Sorbonne Paris Cité']
Q6291941,"['University of London', 'University of Minnesota', 'University of Wisconsin–Madison']"
Q23034406,"['Mandalay University', 'University of Yangon']"
Q13580438,['Moldova State University']
Q3509487,"['Nigerian Military School', 'Pakistan Military Academy', 'Nigerian Defence Academy']"
Q717460,['Ss. Cyril and Methodius University of Skopje']
Q16199176,['University of Wisconsin–Madison']
Q1091325,['Ss. Cyril and Methodius University of Skopje']
Q3646669,['Maxim Gorky Literature Institute']
Q1711085,"['Montgomery College', 'University of San Diego', 'University of Guam']"
Q3469756,"['Institut National des Arts, Bamako']"
Q7347657,"['University of Durham', 'University of Chicago Divinity School', 'Harvard Divinity School', 'Morehouse College', 'University of Chicago']"
Q44479965,['National University of Singapore']
Q1680877,['University of Birmingham']
Q10829634,['Hanoi University of Agriculture']
Q5521298,"['University of Pristina', 'University of Belgrade Faculty of Philosophy']"
Q3358520,['Cheikh Anta Diop University']
Q26701835,"['University of Costa Rica', 'Higher University of San Andrés']"
Q6873443,"['University of Nairobi', 'University of Pennsylvania', 'Johns Hopkins Bloomberg School of Public Health']"
Q8026127,['Grambling State University']
Q19893493,['University of San Simón']
Q40522028,['University of Dhaka']
Q1701128,['Synge Street CBS']
Q1045853,['Military Academy of Air and Space Defense']
Q6351761,"['University of Karachi', 'University of Manchester']"
Q7409415,"['School of Oriental and African Studies', 'Achimota School']"
Q7243823,['Millfield']
Q4200114,"['Moscow State University', 'MSU The Institute of Asian and African Studies']"
Q6065323,['Istanbul University Faculty of Economics']
Q20089124,['Moscow State University']
Q2139066,"['University of San Carlos', 'De La Salle University', 'Harvard University', 'Georgetown University', 'University of the Philippines Los Baños']"
Q3694592,['University of Lucknow']
Q42559242,"['Ahmadu Bello University', 'Olabisi Onabanjo University']"
Q3350302,"['Dhaka College', 'University of Dhaka']"
Q16106271,['Belarusian National Technical University']
Q6068693,['University of El Salvador']
Q6956804,"['Johannes Gutenberg University Mainz', 'American University of Beirut']"
Q15696332,['Moscow Art Theatre School']
Q3896957,['University of Oxford']
Q18719171,"['Yale Law School', 'London School of Economics and Political Science', 'University of Ghana', 'Achimota School']"
Q5163712,['Moldova State University']
Q6148200,['Pakistan Military Academy']
Q3358533,"['Georgetown University', 'Tunis University']"
Q12068119,['']
Q5401195,"['Polytechnic University of Valencia', 'University of Costa Rica']"
Q3369538,['Ahmadu Bello University']
Q4899532,"['Brooklyn College', 'Fordham University', 'CUNY Graduate Center']"
Q1794914,['University of Ghana']
Q2390795,"['Academy of Social Sciences of the  Central Committee of CPSU', 'Belarusian State Economic University']"
Q5081373,"['Harvard University', 'Makerere University', 'The American University in Cairo']"
Q16151893,"['Webster University', 'University of Dar es Salaam']"
Q4076418,['Armenian State University of Economics']
Q343728,['Marshall University']
Q6743602,"[""St. Anthony's College, Kandy""]"
Q4117312,"['University of Libya', 'University of Ez-Zitouna', 'University of Tripoli']"
Q6760997,['Maputo University']
Q3219209,"['University of Yaoundé', 'National School of Administration and Magistracy']"
Q4075662,['Saint Petersburg State Institute of History']
Q6548691,"['University of Cambridge', 'John F. Kennedy School of Government', 'Raffles Institution', ""Christ's College""]"
Q7926065,"['Stanford University', 'Achimota School', 'University of Reading', ""King's College London"", ""Presbyterian Boys' Secondary School""]"
Q8053488,"['The English School', 'Leipzig University']"
Q20393882,['Kuwait University']
Q5749975,"['Complutense University of Madrid', 'National University of Loja']"
Q5820313,['University of Guayaquil']
Q4073085,['Gerasimov Institute of Cinematography']
Q7297876,['Boston University']
Q3108807,['National University of Singapore']
Q1681274,"['University of Dar es Salaam', 'Law Development Centre']"
Q5254427,['Marien Ngouabi University']
Q2630570,"['Military Academy', 'Minsk Higher Air Defense Anti-aircraft Missile Academy']"
Q9088556,"['National Taiwan University', 'University of Missouri']"
Q1722547,['Al-Farabi Kazakh National University']
Q544489,['University of Tartu']
Q380002,['Turkmen State Institute of Architecture and Construction']
Q4832746,"['University of Kent', 'Al-Azhar University']"
Q4213731,['Al-Farabi Kazakh National University']
Q3296213,['Nigerian Defence Academy']
Q6889974,['International Writing Program']
Q4160126,"['National University of Life and Environmental Sciences of Ukraine', 'Moscow State Institute of International Relations']"
Q7176736,['University of Guelph']
Q4120818,['John F. Kennedy School of Government']
Q27673480,"['Biola University', 'Azusa Pacific University', 'Claremont Graduate University']"
Q18354540,['Kingswood College']
Q5761037,"['Makerere University', ""Peoples' Friendship University of Russia""]"
Q4821914,['Mandalay University']
Q7640361,['Ananda College']
Q11098061,['']
Q16148355,['University of Khartoum']
Q19691303,['University of Bologna']
Q4118474,"['University of Liverpool', 'McGill University', 'University of Baghdad']"
Q3529157,['Nalanda College']
Q6081275,['Victoria School']
Q28839306,"['University of Toronto', 'Asian Institute of Technology']"
Q4889323,['Brigham Young University']
Q5711054,['Nalanda College']
Q130523,"['Grenoble Alpes University', 'University of Paris (1896-1968)']"
Q7976062,"['University of Toronto', 'University of the West Indies']"
Q4740658,['Narxoz University']
Q30903108,"['En los muelles de la cama', 'Academy of San Carlos', 'National Autonomous University of Mexico']"
Q3531293,['Mahinda College']
Q7908926,['Mahinda College']
Q15041195,['Moscow State University of Food Production']
Q4375826,['Mahinda College']
Q6490159,"['California Institute of the Arts', 'Washington University in St.\xa0Louis']"
Q16354291,['Jāzeps Vītols Latvian Academy of Music']
Q20015377,['Glasgow Caledonian University']
Q5512329,"['University of Ceylon', 'New College']"
Q3329728,['Estonian Academy of Music and Theatre']
Q43180489,['University of Zimbabwe']
Q1046192,"['Georgetown University', 'Moscow State Institute of International Relations']"
Q4076608,['Al-Farabi Kazakh National University']
Q7268854,['University of Missouri']
Q20022251,"['Columbia University', 'Yale School of Management', 'Achimota School', 'Yale University']"
Q6181706,"[""Saint Joseph's Institution, Singapore""]"
Q6734031,['University of Colombo']
Q8277619,"['Roosevelt University', 'Chinese Culture University']"
Q1676750,"['Gustav Adolf Grammar School', 'University of Tartu']"
Q7099418,['Al-Farabi Kazakh National University']
Q17022960,"['Instituto Superior de Ciências Educativas', 'ISCTE – Lisbon University Institute']"
Q15727203,['University of Tripoli']
Q7285392,"['University of Cambridge', 'University of Nottingham']"
Q7244619,['Columbia University School of Engineering']
Q28122455,"['University of Texas at Austin', ""St. Edward's University"", 'Norwich University']"
Q16107404,"['College of Medicine, Nursing & Health Sciences']"
Q4327263,['Uzbekistan State Institute of Arts and Culture']
Q21005595,['Royal College of Art']
Q6173129,"['Carey College, Colombo']"
Q6734241,['Tajik Technical University']
Q4275065,['Minsk State Linguistic University']
Q7682028,['National University of Singapore']
Q7861243,['University of Texas at Austin']
Q719638,['Cairo  University']
Q7273831,['Ananda College']
Q4793893,['Makerere University']
Q23816422,"['La Trobe University', 'Makerere University']"
Q18350473,"['Claremont Graduate University', 'Loyola Marymount University', 'University of California, Los Angeles']"
Q4279908,['Al-Farabi Kazakh National University']
Q6700330,['University of Michigan']
Q3491656,['National School of Arts in Dakar']
Q1175814,['Bishop College']
Q1781050,['University of New Mexico']
Q16148243,['National and Kapodistrian University of Athens']
Q4163310,['Kazakh National Conservatory']
Q3681824,"['Faculty of Humanities and Social Sciences, University of Zagreb']"
Q4250192,['Satbayev University']
Q13361106,['Tbilisi State University']
Q5556076,['Ain Shams University']
Q7667969,['Dharmaraja College']
Q6771728,"[""St. Scholastica's College""]"
Q7416997,['All India Institutes of Medical Sciences']
Q36696779,['National Polytechnic Institute of Toulouse']
Q5202629,"['Silliman University', 'Ateneo de Manila University', 'University of the Philippines']"
Q17402730,"['Indiana University', 'University of the Philippines', 'University at Buffalo']"
Q6548659,['Newcastle University']
Q16123533,"['University of the West Indies', 'York University']"
Q15700904,"[""Peoples' Friendship University of Russia""]"
Q6693543,['University of Bologna']
Q6849520,['Shevchenko Transnistria State University']
Q7959155,"['University of Texas at Arlington', 'En los muelles de la cama']"
Q4742276,['Makerere University']
Q16730788,"['Keble College', 'University of the Punjab']"
Q36813,['Belorussian-Russian University']
Q5519561,['School of Oriental and African Studies']
Q5294519,"['Harvard University', 'University of Chicago', 'University of Vienna', 'Morehouse College', 'Pritzker School of Medicine', 'Harvard T.H. Chan School of Public Health']"
Q4071901,['Turkmenistan State Medical University']
Q28499953,['State Academic Institute of Fine Arts Surikov']
Q4721942,"['University of Parma', 'University of Milan']"
Q20640923,['American University']
Q1083474,['University of Ghana']
Q4086594,['Moscow Conservatory']
Q23304625,"['Tallinn University of Technology', 'University of Tartu']"
Q46992579,"['University of Lagos', 'University of London', 'National School of Administration and Magistracy']"
Q4515350,"['', 'Kharkiv National University of Economics']"
Q4104201,['Faculty of Law at BSU']
Q13611050,['Art Academy of Latvia']
Q4198704,['Ufa State Petroleum Technological University']
Q937374,['University of Barcelona']
Q4777813,"[""King's College London""]"
Q2297311,"['Harvard University', 'National University of Uzbekistan']"
Q5886981,['National University of Costa Rica']
Q28159863,"['University of Durham', 'University of the West Indies']"
Q4521582,['Satbayev University']
Q26980154,['Agostinho Neto University']
Q15920830,"['USC Annenberg School for Communication and Journalism', 'National College of Arts']"
Q2692107,"['Pontifical University of Saint Thomas Aquinas', 'University of Santo Tomas', 'Pontifical Lateran University']"
Q20534498,['Tashkent Higher Tank Command School']
Q16106528,"['Lawrence College Ghora Gali', 'Pakistan Military Academy']"
Q6373273,['University of Bordeaux']
Q25688586,['National University of Asuncion']
Q2189073,['University of Leicester']
Q7274035,"['University of North Carolina at Chapel Hill', 'Georgia Institute of Technology', 'Appalachian State University']"
Q20890330,['University of Ibadan']
Q3129316,['George Washington University']
Q4401377,['Tbilisi State University']
Q4895563,['Technical University of Munich']
Q4308305,['Satbayev University']
Q7697723,['Azerbaijan State University of Culture and Arts']
Q7911412,['Moldova State University']
Q7029193,['Moldova State University']
Q5294546,['Clemson University']
Q3694910,"['Central Model School, Lahore']"
Q7184592,"['University of Toronto', 'Harvard Business School']"
Q5163882,"['Boston University', 'Harvard Business School', 'Harvard University']"
Q24690849,['Mohammed V University']
Q5817737,"['Interamerican University of Puerto Rico', 'Ateliers Varan', 'Escuela Internacional de Cine y Televisión']"
Q794630,['University of Paris (1896-1968)']
Q6940096,['Kuwait University']
Q7608064,['Agricultural Academy in Dublany']
Q28517089,"['Universidad Técnica Luis Vargas Torres', 'Universidad Cooperativa de Colombia']"
Q17274808,['Universidad de San Carlos de Guatemala']
Q2695480,"['University of Detroit Mercy', 'University of Cape Town']"
Q7682086,"['National University of Singapore', 'University of London']"
Q5101373,['Middlesex University']
Q6452296,"['National and Kapodistrian University of Athens', 'University of Luxembourg', 'University of Bonn']"
Q2965011,['Université catholique de Louvain']
Q58223,"['Eduardo Mondlane University', 'University of London']"
Q4475242,['Kabul University']
Q4802035,"[""Peoples' Friendship University of Russia""]"
Q30902565,['University of Costa Rica']
Q6450350,"['University of Amsterdam', 'Leiden University']"
Q7400037,['PAF Public School Sargodha']
Q2832185,['University College London']
Q3072481,"['Moscow State University, Faculty of Law']"
Q15782938,"['Savitribai Phule Pune University', 'University of Delhi']"
Q34747121,['University of Jordan']
Q44518716,"['Central University of Ecuador', 'National University of Colombia', 'Real Academia de Bellas Artes de San Fernando']"
Q26037486,['State University of New York']
Q6123166,['National University of Uzbekistan']
Q34723978,"['University of North Texas', 'University of Jordan', 'The Ahliyyah School for Girls']"
Q2741909,['Koninklijke Militaire Academie']
Q29563878,['Aix-Marseille University']
Q5088094,['University of the Punjab']
Q5080659,['University of Dublin']
Q12110112,['Chernivtsi University']
Q2388490,"['Belarusian National Technical University', 'Moscow State Linguistic University', '']"
Q14627668,['National University of Asuncion']
Q15485423,"['Harvard University', 'Harvard Business School']"
Q27825245,['University of Nairobi']
Q2134696,"['Universidad de San Carlos de Guatemala', '']"
Q14949590,"['University of Toronto', 'University of Dar es Salaam']"
Q8015604,['Mzumbe University']
Q16406371,['University of Tartu']
Q24076866,['Central University of Ecuador']
Q6764810,['University of the West Indies']
Q4181893,"['M.Auezov South Kazakhstan State University', 'D. Mendeleev University of Chemical Technology of Russia']"
Q7539429,['Academy of Dramatic Art']
Q5481588,"['University of Dar es Salaam', 'School of Oriental and African Studies', 'Harvard Law School']"
Q5373353,"['Balliol College', 'University of Durham']"
Q5360720,['International Writing Program']
Q6891980,['Kabul University']
Q16494733,"['University of Chile', 'National Autonomous University of Mexico', 'Higher University of San Andrés']"
Q4234788,['Technical University of Moldova']
Q6066624,['Rafael Landívar University']
Q577413,"['University of Western Ontario', 'Princeton University']"
Q6283947,['Achimota School']
Q7169422,['University of Belgrade Faculty of Economics']
Q16105370,"['University of Jaffna', 'University of Ceylon']"
Q4118042,"['Harvard University', 'Harvard School of Engineering and Applied Sciences', 'Singapore Polytechnic']"
Q30692529,"['University of Costa Rica', 'Complutense University of Madrid']"
Q11096195,['National Taiwan University']
Q2752724,"['Yerevan State University', 'Harvard University']"
Q52577583,['Universidad de San Carlos de Guatemala']
Q6964647,['Brandeis University']
Q924334,['Ion Creangă Pedagogical State University']
Q7351313,['International Writing Program']
Q7682077,['Raffles Institution']
Q23930487,['University of Yaoundé']
Q4233034,['Narxoz University']
Q7267003,['Open University Malaysia']
Q4348130,"['Donetsk National University of Economics and Trade', 'Classic Private University']"
Q6087995,['University of Yaoundé']
Q6139217,"['Universidad Laica Vicente Rocafuerte', 'Universidad Andina Simón Bolívar']"
Q4346388,['Moldova State University']
Q4149786,['Faculty of history of Belarusian State University']
Q6700592,['University of Costa Rica']
Q5436805,"['Britannia Royal Naval College', 'École Navale']"
Q4413111,['Al-Farabi Kazakh National University']
Q20028503,"[""St. Sylvester's College""]"
Q4949324,['University of Havana']
Q6653654,['Tamkang University']
Q2463754,['Turkmen State Institute of Architecture and Construction']
Q4120076,['Kuwait University']
Q20489587,['Ural State University']
Q4712230,['Cornell University']
Q4060799,['Belarusian State Medical University']
Q7810605,"['University of Cambridge', 'Harvard University', 'University of Namibia']"
Q22231170,"['Streatham and Clapham High School', 'Architectural Association School of Architecture']"
Q28933764,['University Toulouse - Jean Jaurès']
Q7636761,['Royal Military Academy Sandhurst']
Q7636644,['University of Manchester']
Q7916590,['Moscow State University']
Q1229262,['University of Ghana']
Q5576402,['University of Zimbabwe']
Q4466589,['Karaganda State University']
Q4670201,['University of Hull']
Q4524650,['MSU Faculty of Journalism']
Q2084711,"['Assumption College San Lorenzo', 'National Defense College of the Philippines']"
Q28137094,['National and Kapodistrian University of Athens']
Q19713457,['University of Yangon']
Q6787635,['University of Ljubljana']
Q50897820,"['Connecticut College', 'University of Wisconsin–Madison']"
Q25683100,['Harvard University']
Q8061946,"['Somali National University', 'University of Siena']"
Q5538761,"['The New School', 'Boston College', 'Manhattan College']"
Q4100316,"['Mogilev State A. Kuleshov University', 'Top Courses for Scriptwriters and Film Directors', '']"
Q4110543,['Jāzeps Vītols Latvian Academy of Music']
Q2047775,['Ss. Cyril and Methodius University of Skopje']
Q10916624,"['National Chengchi University', 'Freie Universität Berlin', 'Tunghai University']"
Q3808799,['Ss. Cyril and Methodius University of Skopje']
